CodFam	DesFam	Articulo	Barra	Descripcion	Precio	Oferta
4	LIMPIEZA Y PERFUMERIA	5534	7790770603022	Toalla Fem. Nosotras Noct-promo-pack x16	3291,35	0,000
4	LIMPIEZA Y PERFUMERIA	5536	7790770603008	Toalla. Fem. Nosotras Normal Pack x30	2236,82	0,000
4	LIMPIEZA Y PERFUMERIA	22574	7790770601950	Toall. Fem. Nosotras Clas. S Esencial Suave X8Ud	938,60	0,000
4	LIMPIEZA Y PERFUMERIA	22588	7702026148836	Toall. Fem. Nosotras Nat B.Noches X8 (120335	1468,53	0,000
4	LIMPIEZA Y PERFUMERIA	22592	7790770602001	Protec. Nosotras Respirables X15Ud/106107	1359,58	0,000
4	LIMPIEZA Y PERFUMERIA	22593	7790770602025	Toall. Fem. Nosotras Protec. Largos X15Ud /107410	1582,40	0,000
4	LIMPIEZA Y PERFUMERIA	22595	7790770602964	Toall. Fem. Nosotras Protectores Clasico Esencial X20Ud	877,43	0,000
4	LIMPIEZA Y PERFUMERIA	22603	7790770601639	Toall. Fem. Nosotras B.Noches X16 (110260	2943,30	0,000
4	LIMPIEZA Y PERFUMERIA	22605	7790770002917	Toall. Fem. Nosotras Prot. Diario Nat Nor Ve X100Ud	3594,12	0,000
4	LIMPIEZA Y PERFUMERIA	22629	7702027042935	Toall. Fem. Nosotras Extraport Xud Tela	227,26	0,000
4	LIMPIEZA Y PERFUMERIA	172011	7702026151546	Toall. Fem. Nosotras ultra delgada nocturna x14u	4642,94	0,000
4	LIMPIEZA Y PERFUMERIA	225466	7702026153618	Toall. Fem. Nosotras Larga T. Ex/Suave C/Alas X 8Uds	1917,91	0,000
4	LIMPIEZA Y PERFUMERIA	225741	7790770601967	Toall. Fem. Nosotras Esencial E/Pack X16Ud	1549,89	0,000
4	LIMPIEZA Y PERFUMERIA	225880	7790770601912	Toall. Fem. Nosotras Nat Invisible X16 Un (110175	1947,47	0,000
4	LIMPIEZA Y PERFUMERIA	225881	7790770601905	Toall. Fem. Nosotras Nor. Clas. Suave X8Ud (110174	1725,02	0,000
4	LIMPIEZA Y PERFUMERIA	225882	7790770600519	Protec. Nosotras Normal X20Ud /107237	1328,37	0,000
4	LIMPIEZA Y PERFUMERIA	225883	7790770601554	Protec. Nosotras Multi X20Ud /107408	1812,63	0,000
4	LIMPIEZA Y PERFUMERIA	225884	7702026195878	Toall. Fem. Nosotras Ultra Inv Tela X8Ud	2089,82	0,000
4	LIMPIEZA Y PERFUMERIA	225885	225885	Toall. Fem. Nosotras Invis Suave X8Ud (110125	2108,78	0,000
4	LIMPIEZA Y PERFUMERIA	225886	7790770601714	Toall. Fem. Nosotras Invisible Clas. Gel X16Ud (110126	1593,84	0,000
4	LIMPIEZA Y PERFUMERIA	225887	7702026194703	Tampones Nosotras Mini X8Ud (42424	2012,35	0,000
4	LIMPIEZA Y PERFUMERIA	225888	7702026194697	Tampones Nosotras Super X8Ud (42423	2235,93	0,000
4	LIMPIEZA Y PERFUMERIA	225889	7702026195847	Toall. Fem. Nosotras Invisible Rapisec X16Ud/120348	1894,75	0,000
4	LIMPIEZA Y PERFUMERIA	225890	7702026148812	Toall. Fem. Nosotras Extrap Dia Y Noche X8Ud (120353)	1697,04	0,000
4	LIMPIEZA Y PERFUMERIA	225891	7790770601653	Toall. Fem. Nosotras Natural Plus X16Ud	1701,22	0,000
4	LIMPIEZA Y PERFUMERIA	225892	7790770601707	Toall. Fem. Nosotras Natural Plus X8Ud (110166	1213,13	0,000
4	LIMPIEZA Y PERFUMERIA	225893	7702026194581	Tampones Nosotras Regular X8Ud (42422	2437,18	0,000
4	LIMPIEZA Y PERFUMERIA	225894	7702026195823	Toall. Fem. Nosotras Ultra Inv. Rapisec X8Ud (49695	1779,08	0,000
4	LIMPIEZA Y PERFUMERIA	225895	7790770601851	Toall. Fem. Nosotras B.Noches Inv.Rapigel X8Ud (49805	2695,70	0,000
4	LIMPIEZA Y PERFUMERIA	225896	7702026195830	Toall. Fem. Nosotras Clas. Rapisec X8Ud (49696	1321,96	0,000
4	LIMPIEZA Y PERFUMERIA	225897	7702026195861	Toall. Fem. Nosotras Ultra Inv Tela X14Ud (49749	1813,12	0,000
4	LIMPIEZA Y PERFUMERIA	225898	7790770601684	Toall. Fem. Nosotras Natural Inv X30Ud	3572,44	0,000
4	LIMPIEZA Y PERFUMERIA	225899	7790770602360	Toall. Fem. Nosotras Delgada Suave X8Ud	1286,99	0,000
4	LIMPIEZA Y PERFUMERIA	225921	7790770601615	Protec. Nosotras Respirable X50Ud/106108	4057,41	0,000
4	LIMPIEZA Y PERFUMERIA	225931	7790770601585	Toall. Fem. Nosotras Protec. Largos X50Ud/107412	3631,23	0,000
4	LIMPIEZA Y PERFUMERIA	225932	7790770602049	Toall. Fem. Nosotras Protectores Largos X80Ud	4576,20	0,000
4	LIMPIEZA Y PERFUMERIA	2258811	9922588110012	Toall. Fem. Nosotras Nor Suav Alas X16Ud	3975,60	0,000
4	LIMPIEZA Y PERFUMERIA	2258812	2258812	Toall. Fem. Nosotras Cls Suav Alas X8Ud	1209,87	0,000
4	LIMPIEZA Y PERFUMERIA	2258813	9922588130010	Toall. Fem. Nosotras Cls Rapisec X16Ud	2500,10	0,000
4	LIMPIEZA Y PERFUMERIA	2258814	9922588140019	Toall. Fem. Nosotras Cls Rapisec X8Ud	1210,94	0,000
4	LIMPIEZA Y PERFUMERIA	2258821	7790770601981	Toall. Fem. Nosotras Protector Normal X60Ud /107235	3985,45	0,000
4	LIMPIEZA Y PERFUMERIA	2258831	7790770602056	Toall. Fem. Nosotras Protector Multi X60Ud /107409	3913,70	0,000
4	LIMPIEZA Y PERFUMERIA	2258891	7702026195854	Toall. Fem. Nosotras Ult Invis Rapisec X14Ud /49804	1813,12	0,000
4	LIMPIEZA Y PERFUMERIA	2258901	7702026148829	Toall. Fem. Nosotras Extra Dia Y Noche X16Ud	3725,19	0,000
